"","","","","","","",""
서울디지털대학교,본교,서울,사립,서울특별시 강서구 공항대로 424 (화곡동. 서울디지털대학교) ,www.sdu.ac.kr,02-2128-3096,02-2128-3006
서울사이버대학교,본교,서울,사립,서울특별시 강북구 솔매로49길 60 (미아동. 서울사이버대학교) ,www.iscu.ac.kr,02-944-5000,02-980-2222
서울시립대학교,본교,서울,공립,서울특별시 동대문구 서울시립대로 163 (전농동. 서울시립대학교) ,www.uos.ac.kr,02-6490-6114,02-6490-6439
서울신학대학교,본교,경기,사립,경기도 부천시 소사구 호현로489번길 52 (소사본동. 서울신학대학교) ,www.stu.ac.kr,032-340-9114,032-349-9400
서울여자간호대학교,본교,서울,사립,서울특별시 서대문구 간호대로 38 (홍제동. 서울여자간호대학교) ,www.snjc.ac.kr,02-2287-1771,02-395-8018
서울여자대학교,본교,서울,사립,서울특별시 노원구 화랑로 621 (공릉동. 서울여자대학교) ,www.swu.ac.kr,02-970-5114,02-3399-2843
서울예술대학교,본교,경기,사립,경기도 안산시 단원구 예술대학로 171 (고잔동. 서울예술대학) ,www.seoularts.ac.kr,031-412-7100,031-412-7149
서울장신대학교,본교,경기,사립,경기도 광주시 경안로 145 (경안동. 서울장신대학교) ,www.sjs.ac.kr,031-799-9113,031-765-1232
서울한영대학교,본교,서울,사립,서울특별시 구로구 경인로 290-42 (개봉동) ,shyu.ac.kr,02-2669-2200,02-2669-2211
서원대학교,본교,충북,사립,충청북도 청주시 서원구 무심서로 377-3 (모충동. 서원대학교) ,www.seowon.ac.kr,043-299-8114,043-283-8822
서일대학교,본교,서울,사립,서울특별시 중랑구 용마산로90길 28 (면목동) ,www.seoil.ac.kr,02-490-7300,02-490-7348
서정대학교,본교,경기,사립,경기도 양주시 은현면 서정로 27 ,www.seojeong.ac.kr,031-859-6900,031-859-6904
선린대학교,본교,경북,사립,경상북도 포항시 북구 흥해읍 초곡길36번길 30 (초곡리. 선린대학) ,www.sunlin.ac.kr,054-260-5000,054-261-9455
선문대학교,본교,충남,사립,충청남도 아산시 탕정면 선문로221번길 70 (갈산리. 선문대학교) ,www.sunmoon.ac.kr,041-530-2114,041-541-7424
성결대학교,본교,경기,사립,경기도 안양시 만안구 성결대학로 53 (안양동. 성결대학교) ,www.sungkyul.ac.kr,031-467-8114,031-449-0529
성공회대학교,본교,서울,사립,서울특별시 구로구 연동로 320 (항동. 성공회대학교) ,www.skhu.ac.kr,02-2610-4114,02-2610-4248
성균관대학교,본교,서울,사립,서울특별시 종로구 성균관로 25-2 (명륜3가. 성균관대학교) ,www.skku.edu,02-760-0114,02-760-1141
성신여자대학교,본교,서울,사립,서울특별시 성북구 보문로34다길 2 (돈암동. 성신여자대학교) ,www.sungshin.ac.kr,02-920-7114,02-920-2018
성운대학교,본교,경북,사립,경상북도 영천시 신녕면 대학길 105 (화남리. 성덕대학교) ,www.sw.ac.kr,054-330-8800,054-330-8810
세경대학교,본교,강원,사립,강원도 영월군 영월읍 하송로 197 (하송리. 세경대학) ,www.saekyung.ac.kr,033-371-3000,033-371-3029
세명대학교,본교,충북,사립,충청북도 제천시 세명로 65 (신월동. 세명대학교) ,www.semyung.ac.kr,043-645-1125,043-644-2111
세종대학교,본교,서울,사립,서울특별시 광진구 능동로 209 (군자동. 세종대학교) ,www.sejong.ac.kr,02-3408-3114,02-3408-3906
세종사이버대학교,본교,서울,사립,서울특별시 광진구 군자로 121 (군자동. 세종사이버대학) ,sjcu.ac.kr/,02-2204-8034,02-2204-8036
세한대학교,본교,전남,사립,전라남도 영암군 삼호읍 녹색로 1113 (산호리. 세한대학교) ,www.sehan.ac.kr,061-469-1114,061-462-2510
송곡대학교,본교,강원,사립,강원도 춘천시 남산면 송곡대학길 34 (창촌리. 송곡대학교) ,www.songgok.ac.kr,033-260-3600,033-261-4599
송원대학교,본교,광주,사립,광주광역시 남구 송암로 73 (송하동. 송원대학) ,www.songwon.ac.kr,062-360-5700,062-360-5756
송호대학교,본교,강원,사립,강원도 횡성군 횡성읍 남산로 210 (남산리. 송호대학교) ,www.songho.ac.kr,033-340-1000,033-340-1006
수성대학교,본교,대구,사립,대구광역시 수성구 달구벌대로528길 15 (만촌동. 수성대학교) ,www.sc.ac.kr,053-749-7000,053-751-1823
수원가톨릭대학교,본교,경기,사립,경기도 화성시 봉담읍 왕림1길 67 (왕림리. 수원가톨릭대학교) ,www.suwoncatholic.ac.kr,031-290-8822,031-227-4526
수원과학대학교,본교,경기,사립,경기도 화성시 정남면 세자로 288 (보통리. 수원과학대학) ,www.ssc.ac.kr/index.jsp,031-350-2000,031-354-8988
수원대학교,본교,경기,사립,경기도 화성시 봉담읍 와우안길 17 (와우리. 수원대학교) ,www.suwon.ac.kr,031-220-2114,02-745-8545
수원여자대학교,본교,경기,사립,경기도 수원시 권선구 온정로 72 (오목천동. 수원여자대학) ,www.swc.ac.kr,031-290-8042,031-290-8297
숙명여자대학교,본교,서울,사립,서울특별시 용산구 청파로47길 90 (청파동2가. 숙명여자대학교) ,www.sookmyung.ac.kr/,02-710-9114,02-2077-7481
순복음총회신학교,본교,충북,사립,충청북도 제천시 덕산면 도전로 320 (도전리) ,www.kcc.ac.kr,043-645-5571,043-642-4530
순천대학교,본교,전남,국립,전라남도 순천시 중앙로 255 (석현동. 순천대학교) ,www.scnu.ac.kr/SCNU/main.do,061-750-3114,061-750-3117
순천제일대학교,본교,전남,사립,전라남도 순천시 제일대학길 17 (덕월동. 순천제일대학) ,www.suncheon.ac.kr,061-740-1234,061-743-5106
순천향대학교,본교,충남,사립,충청남도 아산시 신창면 순천향로 22 (읍내리. 순천향대학교) ,http://www.sch.ac.kr/,041-530-1114,041-542-4615
숭실대학교,본교,서울,사립,서울특별시 동작구 상도로 369 (상도동. 숭실대학교) ,www.ssu.ac.kr,02-820-0114,02-828-7143
숭실사이버대학교,본교,서울,사립,서울특별시 종로구 삼일대로30길 23 (익선동. BIZWELL종로오피스텔) ,www.kcu.ac,02-708-7700,02-708-7755
숭의여자대학교,본교,서울,사립,서울특별시 중구 소파로2길 10 (예장동. 숭의여자대학) ,www.sewc.ac.kr,02-3708-9052,02-773-2625
신경대학교,본교,경기,사립,경기도 화성시 남양읍 남양중앙로 400-5 (남양리. 신경대학교) ,www.sgu.ac.kr/,031-369-9112,031-369-9116
신구대학교,본교,경기,사립,경기도 성남시 중원구 광명로 377 (금광동. 신구대학) ,www.shingu.ac.kr,031-740-1114,031-734-0905
신라대학교,본교,부산,사립,부산광역시 사상구 백양대로700번길 140 (괘법동. 신라대학교) ,www.silla.ac.kr,051-999-5000,051-999-5800
신성대학교,본교,충남,사립,충청남도 당진시 정미면 대학로 1 (덕마리. 신성대학교) ,www.shinsung.ac.kr,041-350-1114,041-350-1075
신안산대학교,본교,경기,사립,경기도 안산시 단원구 신안산대학로 135 (초지동. 신안산대학교) ,www.sau.ac.kr,031-490-6000,031-495-7828
신한대학교,본교,경기,사립,경기도 동두천시 벌마들로40번길 30 (상패동. 신한대학교) ,www.shinhan.ac.kr/,031-870-2900,031-870-2939
신한대학교,제2캠퍼스,경기,사립,경기도 의정부시 호암로 95 (호원동. 신한대학교) ,www.shinhan.ac.kr/,031-870-3114,031-870-3327
아신대학교,본교,경기,사립,경기도 양평군 옥천면 경강로 1276 아신대학교,www.acts.ac.kr,031-770-7700,031-772-5479
아주대학교,본교,경기,사립,경기도 수원시 영통구 월드컵로 206 (원천동. 아주대학교) ,www.ajou.ac.kr,031-219-2114,031-213-5158
아주자동차대학,본교,충남,사립,충청남도 보령시 주포면 대학길 106 (관산리. 아주자동차대학) ,www.motor.ac.kr,041-939-3008,041-939-3457
안동과학대학교,본교,경북,사립,경상북도 안동시 서후면 서선길 189 (교리. 안동과학대학교) ,www.asc.ac.kr,054-851-3500,054-852-9907
안동대학교,본교,경북,국립,경상북도 안동시 경동로 1375 (송천동. 안동대학교) ,www.andong.ac.kr/main/index.do,054-820-5114,054-820-7115
안산대학교,본교,경기,사립,경기도 안산시 상록구 안산대학로 155 (일동. 안산대학교) ,www.ansan.ac.kr,031-400-6900. 7000,031-419-8390
안양대학교,본교,경기,사립,경기도 안양시 만안구 삼덕로37번길 22 (안양동. 안양대학교) ,www.anyang.ac.kr/main.do,031-467-0700,031-467-0778
안양대학교,제2캠퍼스,인천,사립,인천광역시 강화군 불은면 중앙로 602-14 (삼성리. 안양대학교강화캠퍼스) ,www.anyang.ac.kr/main.do,032-930-6000,032-930-6215
여주대학교,본교,경기,사립,경기도 여주시 세종로 338 (교동. 여주대학교) ,www.yit.ac.kr,031-880-5000,031-883-5113
연성대학교,본교,경기,사립,경기도 안양시 만안구 양화로37번길 34 (안양동. 연성대학교) ,www.yeonsung.ac.kr,031-441-2168,031-441-2170
연세대학교,본교,서울,사립,서울특별시 서대문구 연세로 50 (신촌동. 연세대학교) ,www.yonsei.ac.kr,1599-1885,02-2123-8608
연세대학교(미래),분교,강원,사립,강원도 원주시 흥업면 연세대길 1 연세대학교 미래캠퍼스,www.yonsei.ac.kr/wj,033-760-2114,033-762-4332
연암공과대학교,본교,경남,사립,경남 진주시 진주대로 629번길 35(가좌동. 연암공과대학교) ,www.yc.ac.kr,055-751-2000,055-751-2096
연암대학교,본교,충남,사립,충청남도 천안시 서북구 성환읍 연암로 313 (수향리. 천안연암대학) ,www.yonam.ac.kr,041-580-1114,041-581-0401
영남대학교,본교,경북,사립,경상북도 경산시 대학로 280 (대동. 영남대학교) ,www.yu.ac.kr,053-810-2114,053-810-2036
영남신학대학교,본교,경북,사립,경상북도 경산시 진량읍 봉회1길 26 (봉회리. 영남신학대학교) ,www.ytus.ac.kr,053-850-0500,053-852-9815
영남외국어대학,본교,경북,사립,경상북도 경산시 남천면 남천로 780-9 (협석리. 영남외국어대학) ,www.yflc.ac.kr,053-810-0100,053-810-0199
영남이공대학교,본교,대구,사립,대구광역시 남구 현충로 170 (대명동. 영남이공대학) ,www.ync.ac.kr,053-650-9114,053-624-7871
영산대학교,본교,경남,사립,경상남도 양산시 주남로 288 (주남동) 영산대학교 양산캠퍼스,www.ysu.ac.kr,055-380-9114,055-366-4374
영산대학교,제2캠퍼스,부산,사립,부산광역시 해운대구 반송순환로 142 (반송동) 영산대학교 해운대캠퍼스,www.ysu.ac.kr,051-540-7000,051-543-9347
영산선학대학교,본교,전남,사립,전라남도 영광군 백수읍 성지로 1357 (길용리) ,www.youngsan.ac.kr,061-350-6015,061-350-6040
영진사이버대학교,본교,대구,사립,대구광역시 북구 복현로 35 (복현동. 영진전문대학) ,www.ycc.ac.kr,053-940-5500,053-940-5614
영진전문대학교,본교,대구,사립,대구광역시 북구 복현로 35 (복현동. 영진전문대학) ,www.yju.ac.kr,053-940-5132,053-939-1050
예수대학교,본교,전북,사립,전라북도 전주시 완산구 서원로 383 (중화산동1가. 예수대학교) ,www.jesus.ac.kr,063-230-7700,063-286-2216
예원예술대학교,본교,전북,사립,전라북도 임실군 신평면 창인로 117 (창인리. 예원예술학교) ,www.yewon.ac.kr,063-640-7114,063-640-7773
예원예술대학교,제2캠퍼스,경기,사립,경기도 양주시 은현면 예원대학로 56 ,www.yewon.ac.kr,031-869-0526,031-859-8114
오산대학교,본교,경기,사립,경기도 오산시 청학로 45 (청학동. 오산대학) ,www.osan.ac.kr,031-370-2500,031-373-7388
용인대학교,본교,경기,사립,경기도 용인시 처인구 용인대학로 134 (삼가동. 용인대학교) ,www.yongin.ac.kr,031-8020-3114,031-332-6479
용인예술과학대학교,본교,경기,사립,경기도 용인시 처인구 동부로 61 (마평동. 용인송담대학교) ,www.ysc.ac.kr,031-330-9000,031-336-9535
우석대학교,본교,전북,사립,전라북도 완주군 삼례읍 삼례로 443 (후정리. 우석대학교) ,www.woosuk.ac.kr,063-290-1114,063-291-9312
우송대학교,본교,대전,사립,대전광역시 동구 동대전로 171 (자양동. 우송정보대학) ,www.wsu.ac.kr,042-630-9600,042-631-2346
우송정보대학,본교,대전,사립,대전광역시 동구 백룡로 59(자양동 101-17) 우송정보대학 ,www.wsi.ac.kr,042-629-6114,042-629-6653
울산과학기술원,본교,울산,특별법법인,울산광역시 울주군 언양읍 유니스트길 50 (반연리. 울산과학기술원) ,www.unist.ac.kr,052-217-0114,052-217-1149
울산과학대학교,본교,울산,사립,울산광역시 동구 봉수로 101 (화정동. 울산과학대학동부캠퍼스) ,www.uc.ac.kr,052-230-0500,052-234-9300
울산대학교,본교,울산,사립,울산광역시 남구 대학로 93 (무거동. 울산대학교) ,www.ulsan.ac.kr,052-277-3101,052-277-1534
웅지세무대학교,본교,경기,사립,경기도 파주시 탄현면 웅지로144번길 73 (금승리. 웅지세무대학) ,www.wat.ac.kr,031-940-3114,031-940-3199
원광대학교,본교,전북,사립,전라북도 익산시 익산대로 460 (신동. 원광대학교) ,www.wonkwang.ac.kr,063-850-5114,063-850-6666
원광디지털대학교,본교,전북,사립,전라북도 익산시 익산대로 460 (신동. 원광디지털대학교) ,www.wdu.ac.kr,070-5227-3410,063-843-2855
원광보건대학교,본교,전북,사립,전라북도 익산시 익산대로 514 (신용동. 원광보건대학) ,www.wu.ac.kr,063-840-1114,063-840-1567
위덕대학교,본교,경북,사립,경상북도 경주시 강동면 동해대로 261 (유금리. 위덕대학교) ,www.uu.ac.kr,054-760-1096,054-760-1059
유원대학교,본교,충북,사립,충청북도 영동군 영동읍 대학로 310 ,www.U1.ac.kr,043-740-1114,043-740-1029
유한대학교,본교,경기,사립,경기도 부천시 소사구 경인로 590 (괴안동. 유한대학) ,www.yuhan.ac.kr,02-2610-0600,02-2614-6398
을지대학교,본교,대전,사립,대전광역시 중구 계룡로771번길 77 (목동. 을지대학교대전캠퍼스) ,www.eulji.ac.kr,1899-0001,042-259-1539
을지대학교,제2캠퍼스,경기,사립,경기도 성남시 수정구 산성대로 553 (양지동. 을지대학교) ,www.eulji.ac.kr,031-740-7424,031-740-7469
을지대학교,제3캠퍼스,경기,사립,경기도 의정부시 동일로 712 (금오동) ,www.eulji.ac.kr,031-951-3611,031-951-3912
이화여자대학교,본교,서울,사립,서울특별시 서대문구 이화여대길 52 (대현동. 이화여자대학교) ,www.ewha.ac.kr,02-3277-2114,02-3277-3301
인덕대학교,본교,서울,사립,서울특별시 노원구 초안산로 12 (월계동. 인덕대학) ,www.induk.ac.kr,02-950-7000,02-906-5340
인제대학교,본교,경남,사립,경상남도 김해시 인제로 197 (어방동. 인제대학교) ,www.inje.ac.kr,055-334-7111~8,055-334-0712
인제대학교,제2캠퍼스,부산,사립,부산광역시 부산진구 복지로 75 (개금동. 백병원) ,www.inje.ac.kr,051-894-3421,051-895-1864
인천가톨릭대학교,제2캠퍼스,인천,사립,인천광역시 연수구 송도문화로120번길 20 (송도동) 인천가톨릭대학교,www.iccu.ac.kr,032-830-7000,032-830-7025
인천가톨릭대학교,본교,인천,사립,인천광역시 강화군 양도면 고려왕릉로 53-1 (도장리. 인천가톨릭대학교) ,www.iccu.ac.kr,032-930-8000,032-937-8118
인천대학교,본교,인천,국립대법인,인천광역시 연수구 아카데미로 119 (송도동. 인천대학교) ,www.inu.ac.kr ,032-835-8114,032-835-0713
인천재능대학교,본교,인천,사립,인천광역시 동구 재능로 178 (송림동. 재능대학) ,www.jeiu.ac.kr,032-890-7000,032-890-7065
인하공업전문대학,본교,인천,사립,인천광역시 미추홀구 인하로 100 (용현동. 인하대.인하공전.정석항공고) 인하공업전문대학,www.inhatc.ac.kr,032-870-2114.2115,032-870-2489
인하대학교,본교,인천,사립,인천광역시 미추홀구 인하로 100(용현동) 인하대학교,www.inha.ac.kr,032-860-7114,032-863-1333
장로회신학대학교,본교,서울,사립,서울특별시 광진구 광장로5길 25-1 (광장동. 장로회신학대학교) ,www.puts.ac.kr,02-450-0700,02-452-3460
장안대학교,본교,경기,사립,경기도 화성시 봉담읍 삼천병마로 1182 (상리. 장안대학) ,www.jangan.ac.kr,031-299-3000,031-227-1953
전남과학대학교,본교,전남,사립,전라남도 곡성군 옥과면 대학로 113 (옥과리) ,www.cntu.ac.kr,061-360-5000,061-363-5020
전남대학교,본교,광주,국립,광주광역시 북구 용봉로 45 (용봉동. 전남대학교) ,www.chonnam.ac.kr,062-530-5114,062-530-1189
전남대학교,제2캠퍼스,전남,국립,전라남도 여수시 대학로 50 (둔덕동. 전남대학교여수캠퍼스) ,www.chonnam.ac.kr,061-659-6114,061-659-7003
전남도립대학교,본교,전남,공립,전라남도 담양군 담양읍 죽녹원로 152 (향교리. 전남도립대학) ,www.dorip.ac.kr,061-380-8419,061-381-9100
전북과학대학교,본교,전북,사립,전라북도 정읍시 정읍사로 509 (시기동. 전북과학대학) ,www.jbsc.ac.kr,063-530-9114,063-532-3768
전북대학교,본교,전북,국립,전라북도 전주시 덕진구 백제대로 567 (금암동. 전북대학교) ,www.jbnu.ac.kr,063-270-2114,063-276-0429
전주교육대학교,본교,전북,국립,전라북도 전주시 완산구 서학로 50 (동서학동. 전주교육대학교) ,www.jnue.kr,063-281-7114,063-281-0102
전주기전대학,본교,전북,사립,전라북도 전주시 완산구 전주천서로 267 (중화산동1가. 전주기전대학) ,www.kijeon.ac.kr,063-280-5208,063-231-6415
전주대학교,본교,전북,사립,전라북도 전주시 완산구 천잠로 303 (효자동2가. 전주대학교) ,www.jj.ac.kr,1577-7177,063-220-2072
전주비전대학교,본교,전북,사립,전라북도 전주시 완산구 천잠로 235 (효자동2가. 전주비전대학) ,www.jvision.ac.kr,063-220-4114,063-220-3629
정석대학,본교,서울,사립,서울특별시 강서구 오정로 576 (공항동) ,,02-2660-5392,02-2660-5394
제주관광대학교,본교,제주,사립,제주특별자치도 제주시 애월읍 평화로 2715 (광령리. 제주관광대학) ,www.jtu.ac.kr,064-740-8700,064-748-2829
제주국제대학교,본교,제주,사립,제주특별자치도 제주시 516로 2870 (영평동) ,www.jeju.ac.kr,064-754-0218,064-702-8330
제주대학교,본교,제주,국립,제주특별자치도 제주시 제주대학로 102 (아라일동. 제주대학교) ,www.jejunu.ac.kr,064-754-2114. 8217,064-755-8562
제주한라대학교,본교,제주,사립,제주특별자치도 제주시 한라대학로 38 (노형동. 제주한라대학) ,www.chu.ac.kr,064-741-7575,064-747-3989
조선간호대학교,본교,광주,사립,광주광역시 동구 필문대로 309-2 (서석동. 조선간호대학교) ,www.cnc.ac.kr,062-231-7000,062-231-7019
조선대학교,본교,광주,사립,광주광역시 동구 필문대로 309 (서석동. 조선대학교) ,www.chosun.ac.kr,062-230-7114,062-232-8834
조선이공대학교,본교,광주,사립,광주광역시 동구 필문대로 309-1 (서석동. 조선이공대학) ,www.cst.ac.kr,062-230-8114,062-230-8099
중부대학교,본교,충남,사립,충청남도 금산군 추부면 대학로 201 (마전리. 중부대학교) ,www.joongbu.ac.kr,041-750-6500,041-750-6060
중앙대학교,제2캠퍼스,경기,사립,경기도 안성시 대덕면 서동대로 4726 (내리. 중앙대학교) ,www.cau.ac.kr,031-670-3114~4114,031-675-1390
중앙대학교,본교,서울,사립,서울특별시 동작구 흑석로 84 (흑석동. 중앙대학교) ,www.cau.ac.kr,02-820-5114~6114,02-812-5384
중앙승가대학교,본교,경기,사립,경기도 김포시 승가로 147 (풍무동. 중앙승가대학) ,admission.sangha.ac.kr,031-980-7709,031-980-7778
중원대학교,본교,충북,사립,충청북도 괴산군 괴산읍 문무로 85 (동부리. 중원대학교) ,www.jwu.ac.kr,043-830-8114,043-830-8115
진주교육대학교,본교,경남,국립,경상남도 진주시 진양호로369번길 3 (신안동. 진주교육대학교) ,www.cue.ac.kr,055-740-1114,055-745-8741
진주보건대학교,본교,경남,사립,경상남도 진주시 의병로 51 (상봉동. 진주보건대학) ,www.jhc.ac.kr,055-740-1700,055-743-3010
차의과학대학교,본교,경기,사립,경기도 포천시 해룡로 120 (동교동. 포천중문의과대학) 차의과학대학교,www.cha.ac.kr,1899-2010,031)543-2716
창신대학교,본교,경남,사립,경상남도 창원시 마산회원구 팔용로 262 (합성동. 창신대학) ,www.cs.ac.kr,055-250-3001,055-297-5181
창원대학교,본교,경남,국립,경상남도 창원시 의창구 창원대학로 20 (사림동. 창원대학교) ,www.changwon.ac.kr,055-213-2114,055-283-2970
창원문성대학교,본교,경남,사립,경상남도 창원시 의창구 충혼로 91 (두대동) ,www.cmu.ac.kr,055-279-5114,055-279-5086
청강문화산업대학교,본교,경기,사립,경기도 이천시 마장면 청강가창로 389-94 (해월리. 청강문화산업대학) ,www.ck.ac.kr,031-637-1114,031-639-5727
청암대학교,본교,전남,사립,전라남도 순천시 녹색로 1641 (덕월동. 순천청암대학) ,ca.ac.kr,061-740-7100,061-743-6414
청운대학교,본교,충남,사립,충청남도 홍성군 홍성읍 대학길 25 (남장리. 청운대학교) ,www.chungwoon.ac.kr,041-630-3114,041-634-8700
청주교육대학교,본교,충북,국립,충청북도 청주시 서원구 청남로 2065 (수곡동. 청주교육대학교) ,www.cje.ac.kr,043-299-0632,043-299-0797
청주대학교,본교,충북,사립,충청북도 청주시 청원구 대성로 298 (내덕동. 청주대학교) ,www.cju.ac.kr,043-229-8114,043-229-8110
초당대학교,본교,전남,사립,전라남도 무안군 무안읍 무안로 380 (성남리. 초당대학교) ,www.cdu.ac.kr,061-450-1036,061-450-1039
총신대학교,본교,서울,사립,서울특별시 동작구 사당로 143 (사당동. 총신대학교) ,www.chongshin.ac.kr,02-3479-0200,02-593-6256
추계예술대학교,본교,서울,사립,서울특별시 서대문구 북아현로11가길 7 (북아현동. 추계예술대학교) ,www.chugye.ac.kr,02-362-5700,02-362-4555
춘천교육대학교,본교,강원,국립,강원도 춘천시 공지로 126 (석사동. 춘천교육대학교) ,www.cnue.ac.kr,033-260-6000,033-260-6162
춘해보건대학교,본교,울산,사립,울산광역시 울주군 웅촌면 대학길 9 (곡천리. 춘해보건대학) ,www.ch.ac.kr,052-270-0100,052-225-9889
충남대학교,본교,대전,국립,대전광역시 유성구 대학로 99 (궁동. 충남대학교) ,www.cnu.ac.kr,042-821-5114,042-823-5875
충남도립대학교,본교,충남,공립,충청남도 청양군 청양읍 학사길 55 (벽천리. 충남도립대학교) ,www.cnsu.ac.kr,041-635-6600,041-635-7950
충북대학교,본교,충북,국립,충청북도 청주시 서원구 충대로 1 (개신동. 충북대학교) ,www.chungbuk.ac.kr,043-261-2114. 3114,043-261-3333
충북도립대학교,본교,충북,공립,충청북도 옥천군 옥천읍 대학길 15 (문정리) ,www.cpu.ac.kr,043-220-5313,043-220-5319
충북보건과학대학교,본교,충북,사립,충청북도 청주시 청원구 내수읍 덕암길 10 (덕암리. 충북보건과학대학교) ,www.chsu.ac.kr,043-210-8133,043-210-8305
충청대학교,본교,충북,사립,충청북도 청주시 흥덕구 강내면 월곡길 38 (월곡리. 충청대학) ,www.ok.ac.kr,043-230-2114,043-230-2115
칼빈대학교,본교,경기,사립,경기도 용인시 기흥구 마북로 184 (마북동. 칼빈대학교) ,www.calvin.ac.kr,031-284-4753,031-284-4588
케이씨대학교,본교,서울,사립,서울특별시 강서구 까치산로24길 47 (화곡동. 케이씨대학교) ,kcu.ac.kr,02-2600-2400,02-2698-8876
평택대학교,본교,경기,사립,경기도 평택시 서동대로 3825 (용이동. 평택대학교) ,www.ptu.ac.kr,031-659-8114,031-659-8011
포항공과대학교,본교,경북,사립,경상북도 포항시 남구 청암로 77 (지곡동. 포항공과대학교) ,www.postech.ac.kr,054-279-0114,054-279-2099
포항대학교,본교,경북,사립,경상북도 포항시 북구 흥해읍 신덕로 60 (죽천리. 포항대학교) ,www.pohang.ac.kr,054-251-8000,054-252-5005
한경대학교,본교,경기,국립,경기도 안성시 중앙로 327 (석정동. 한경대학교) ,www.hknu.ac.kr,031-670-5114,031-670-5469
한국골프대학교,본교,강원,사립,강원도 횡성군 우천면 하대5길 109 한국골프대학교,www.kg.ac.kr,033-810-1041,033-810-1001
한국공학대학교,본교,경기,사립,경기도 시흥시 산기대학로 237 (정왕동. 한국산업기술대학교) ,www.kpu.ac.kr,031-8041-1000,031-8041-0009
한국과학기술원,본교,대전,특별법법인,대전광역시 유성구 대학로 291 (구성동. 한국과학기술원) ,www.kaist.ac.kr,042-350-2114,042-350-2210
한국관광대학교,본교,경기,사립,경기도 이천시 신둔면 이장로311번길 197-73 (고척리. 한국관광대학) ,www.ktc.ac.kr,031-644-1000,031-644-1122
한국교원대학교,본교,충북,국립,충청북도 청주시 흥덕구 강내면 태성탑연로 250 (다락리. 한국교원대학교) ,www.knue.ac.kr,043-230-3114,043-233-2960
한국교통대학교,본교,충북,국립,충청북도 충주시 대소원면 대학로 50 (검단리. 한국교통대학교) ,www.ut.ac.kr,043-841-5000,043-853-1236
한국국제대학교,본교,경남,사립,경상남도 진주시 문산읍 동부로 965 (상문리. 한국국제대학교) ,www.iuk.ac.kr,055-751-8114,055-761-7407
한국기술교육대학교,본교,충남,사립,충청남도 천안시 동남구 병천면 충절로 1600 (가전리. 한국기술교육대학교) ,www.koreatech.ac.kr,041-560-1114,041-561-9504
한국농수산대학(일반),본교,전북,특별법국립,전라북도 전주시 덕진구 콩쥐팥쥐로 1515 (중동. 한국농수산대학) ,www.af.ac.kr,063-238-9114,063-238-9719
한국방송통신대학교,본교,서울,국립,서울특별시 종로구 대학로 86 (동숭동. 한국방송통신대학교) ,www.knou.ac.kr,1577-9995,02-3673-2382
한국복지대학교,본교,경기,국립,경기도 평택시 삼남로 283 (장안동. 한국복지대학교) ,www.knuw.ac.kr,031-610-4600,031-610-4604
한국복지사이버대학,본교,경북,사립,경상북도 경산시 남천면 남천로 746-10 (협석리) ,www.corea.ac.kr,1644-9775,053-815-6500
한국성서대학교,본교,서울,사립,서울특별시 노원구 동일로214길 32 (상계동. 한국성서대학교) ,www.bible.ac.kr,02-950-5424,070-4275-0161
한국승강기대학교,본교,경남,사립,경상남도 거창군 거창읍 운정1길 120 (송정리. 한국승강기대학) ,www.klc.ac.kr/klc/main/Main.php,055-949-2220,055-949-2222
한국에너지공과대학교,본교,전남,특별법법인,전라남도 나주시 혁신로 200(빛가람동) ,,061-330-9626,061-333-9627
한국열린사이버대학교,본교,서울,사립,서울특별시 중랑구 망우로 353. C동 9층(상봉프레미어스엠코) ,www.ocu.ac.kr,02-2197-4200,02-2197-4114
한국영상대학교,본교,세종,사립,세종특별자치시 장군면 대학길 300 (금암리. 한국영상대학) ,www.pro.ac.kr,044-850-9000,044-850-9008
한국예술종합학교,본교,서울,특별법국립,서울특별시 성북구 화랑로32길 146-37 (석관동. 한국종합예술학교) ,Karts.ac.kr/,02-746-9066,02-746-9069
한국외국어대학교,본교,서울,사립,서울특별시 동대문구 이문로 107 (이문동. 한국외국어대학교) ,www.hufs.ac.kr,02-2173-2114,02-960-7898
한국전통문화대학교,본교,충남,특별법국립,충청남도 부여군 규암면 백제문로 367 (합정리. 한국전통문화대학교) ,www.nuch.ac.kr,041-830-7114,041-830-7020
한국체육대학교,본교,서울,국립,서울특별시 송파구 양재대로 1239 (방이동. 한국체육대학교) ,www.knsu.ac.kr/,02-410-6700,02-418-1877
한국침례신학대학교,본교,대전,사립,대전광역시 유성구 북유성대로 190 (하기동. 침례신학대학) ,www.kbtus.ac.kr,042-828-3114,042-825-1354
한국폴리텍 I 대학 서울강서캠퍼스,본교,서울,사립,서울특별시 강서구 우장산로10길 112 (화곡동. 한국폴리텍Ⅰ서울강서대학) ,kangseo.kopo.ac.kr,02-2186-5800,02-2186-5819
한국폴리텍 I 대학 서울정수캠퍼스,본교,서울,사립,서울특별시 용산구 보광로 73 (보광동. 한국폴리텍1대학서울정수캠퍼스) ,www.kopo.ac.kr/jungsu/index.do,02-2001-4113,02-2001-4119
한국폴리텍 I 대학 성남캠퍼스,본교,경기,사립,경기도 성남시 수정구 수정로 398 (산성동. 한국폴리텍I대학성남캠퍼스) ,seongnam.kopo.ac.kr/,031-739-4000,031-749-3375
